sn,Comments,Labels
620,Requested lower interest rate was declined - will pay of balance and close account,"Account Maintenance & Closing ,Payments ,Terms "
621,"Requested a credit increase and a payment that wasn’t on my card from a seller,they helped and that money was reversed back on my card in a day.  Very nice and professional I found I had a good experience","Brand ,Issue Resolution ,Representative ,Representative ,Representative ,Terms "
622,It was a stressful time but my issue was resolved,"Issue Resolution ,Representative "
623,Service is very good agents that answer are professional in their answers ... security questions asked by agents makes me secure about my account ... e-mails received as confirmation of transactions is extremly helpful to keep track and make sure theres no fraud ...  ABC app is easy to use and easy to understand ...,"Account Communications ,Customer Service ,Representative ,Representative ,Representative ,Representative ,Transactions/Process Experience ,Website Security "
624,"The team handled the issue as best they could. When I needed to be transferred to different departments they checked back with me periodically to ensure satisfaction. They answered any questions they could and when I wasn't exactly sure what I was trying to achieve or how to achiev, they were patient and helped clarify things. I am very appreciative they were so patient, considerate, and helpful.","Phone Experience ,Representative ,Representative ,Representative ,Representative ,Representative ,Representative "
625,They cancelled my card after on sale and I could not use it. Put me in a very precarious position without warning. It was cancelled not suspended and I had to order a new card and will not get it before a major trip. This left me to have to get a different card. Very inconvenient will all other things required to prepare for a trip and if I were on this trip I would have no longer had a card to use half way across the world.,"Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card "
626,I just applied. I dont ecen have my card yet so until I actually use your services I cant judge anything . but so far so good guys. cant wait to get my card and start building my credit up some more !,"Life Events ,Policy ,Representative "
627,It was my second about same issues because did not get correct information the first time,"Issue Resolution ,Issue Resolution ,Issue Resolution ,Representative "
628,I’ve had issues in the past and  ABC has always been able to help me along the way to find a solution to the problem without hassles or inconvenience.  Great customer service,"Brand ,Customer Service ,Issue Resolution ,Representative ,Representative "
629,Cash back,"Rewards ,Rewards "
630,"The customer service agents are exceptional; courteous, knowledgeable and my call was answered expediently which I very much appreciated.","Customer Service ,Representative ,Representative ,Representative "
631, ABC does not always recognize the paid date from the financial institutions where the payment originated.  Bills paid electronically on the due date sometimes result in interest charges due to the delay in funds transfers between financial institutions.  I have never seen this happen with any other creditor.  All creditors are supposed to honour the paid date from the originating institution as the date paid.,"Banking Products/Services ,Terms ,Transaction Types ,Transactions/Process Experience "
632,The representative I spoke to was very helpful and provided answers to all my queries and suggestions as well.,"Representative ,Representative "
633,"Pleasant phone person, not long of a wait time when I was transferred to the department that I needed👍","Phone Experience ,Phone Experience ,Phone Experience ,Representative ,Representative "
634,Card benefits are not great compared to other available cash back cards currently on the market.,"Promotions and Benefits ,Rewards ,Rewards ,Rewards "
635,"Very nice ,answerd all my questions that I asked the lady that helped me explained all my transaction that I have done","Representative ,Representative "
636,"Friendly, relaxed demeanour and willingness to help me out. Good work!","Representative ,Representative "
637,Service and customer service has been great. I have already recommended family members and friends,"Customer Service ,Representative "
638,the issue was handled immediately,"Issue Resolution ,Representative "
639,Got charged 3 times for 1 thing I got ..they couldn’t help me,Representative 
640,Friendly helpful customer service,"Representative ,Representative "
641,alway a person to help,Representative 
642,Because of the points we accumulate and our yearly cheque reimbursement.,Rewards 
643,had a good exchange with the service,Customer Service 
644,Very friendly and helpful service,"Representative ,Representative "
645,"Didnt have to wait forever to get thru for help
Person who answered phone was helpful and friendly","Representative ,Representative "
646,Very professional and good service from the representative I dealt with,"Customer Service ,Representative ,Representative "
647,Couldn’t cancel a pending charge when I was told the card was declined..,Credit/Debit Card 
648,Polite and compassionate person.,Representative 
649,The person gave a clear explanation to my question. He took the time to answer all my questions.,"Representative ,Representative "
650,I spoke to ABC on Monday about my account. I made arrangements to make a payment on October 30. So I don’t understand why the agent would call me back on Friday asking about the payment. Last time I checked October 30 did not come yet.,"Customer Service ,Representative "
651,Because I am new to having a  ABC credit card,Credit/Debit Card 
652,I find the cash back I get back is very little in accordance to the money I spend on this account,"Rewards ,Rewards "
653,Question answered promptly,Representative 
654,The person did not speak English well. The way he conducted this call and the lack of spiel was something I have never heard before.,"Representative ,Representative "
655,"Card has good features, customer service is good, excellent online website","Customer Service ,Website Features "
656,My question was answered quickly and then person helping me was well informed and very helpful.,"Representative ,Representative ,Representative "
657,Good service,Customer Service 
658,You guys have to many stories one says one thing and another controdicts the other so sickening. Also doesn't make you guys very credible to others when they hear about it,"Brand ,Representative ,Representative "
659,Friendliness,Representative 
660,The ABC employee I dealt with as very Professional & Polite.,"Representative ,Representative "
661,"Quick service, provided definitive answer, friendly customer service.","Representative ,Representative "
662,If the interest rate was better I would have given a better rating.,Terms 
663,My experience overall has been satisfactory. Hate the inability to get a limit increase,"Brand ,Terms "
664,Very professional and patient,Representative 
665,Good customer service,Customer Service 
666,My account is now restricted and I do not know why--no one can explain it to me in plain English and you cannot seem to correct it.,"Issue Resolution ,Representative "
667,I call requesting for a credit increase and was left on the line and until now i did not receive any call back or even a response to my request.,"Phone Experience ,Terms "
668,I am so rush to use card ，but when I transfer money to captail one card it can not use card immeditaly.,Transaction Types 
669,"1. Called about an Amazon.ca transaction that was blocked. The agent told me it has been resolved. Then the transaction was blocked again. Called back to be told that the account has been put on hold for security reasons. 
2. One of the security question asked by the agent was to name the province of the city (Ottawa) I was living in. If your security system is based on the capacity of an individual to be able to identify the province in which Ottawa is, then I am concerned about your security system.","Customer Service ,Phone Experience ,Representative ,Website Security "
670,Knowledgeable and not condescending about an issue I had,"Representative ,Representative "
671,"I’m not satisfied with the help I got on my last call the agent was just trying to get rid of my call that’s how I felt and doesn’t have to do anything if I like the card or not with  .. it’s two different things, thx","Phone Experience ,Representative "
672,Yes send me my card it’s been two months that I’ve been waiting.,Credit/Debit Card 
673,"Everytime I've spoke with any of the representatives, they have always been so very polite and professional. When your having a hard time making payments they will always work with you no matter what.","Issue Resolution ,Representative ,Representative ,Representative "
674,"I've done my best since getting this card been 15 months now, and cant even get a slight limit increase",Terms 
675,"Card acceptance by all stores, excellent customer service",Customer Service 
676,"I have NEVER receive an invoice in the mail since I've signed up and now I owe interest rates which is screwing up MY credit, therefore I WILL NEVER recommend you to any of MY friends or family.","Brand ,Policy ,Terms "
677,The interests are way too high.,Terms 
678,ABC provides excellent service.,"Brand ,Customer Service "
679,"Resolved issue with supervisor.
Wait time was a little long.","Customer Service ,Issue Resolution ,Phone Experience ,Representative "
680,Personnel courtois,Representative 
681,"The representative was very respectful and polite, and he was able to answer all my questions.","Representative ,Representative "
682,Very difficult to understand person. He was very heavily accented and instead of helping us resolve issue he immediately wanted to cancel our card and reissue new one. Finally asked to speak to his supervisor and problem was immediately resolved.,"Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Customer Service ,Issue Resolution ,Issue Resolution ,Representative ,Representative ,Representative ,Representative "
683,Fast efficient service.  ABC reached out to me as a customer,Customer Service 
684,because I am satisfied with the associate who help me with my question,"Representative ,Representative "
685,"Service was good,  it sure this is the card for everyone",Customer Service 
686,Amazing customer service,Customer Service 
687,"I called in for a credit limit increase. I have extremely good credit and they did not approve me. Their argument on the phone was that the computer said no so a rep would not be able to override the decision. This seems very wierd to me, someone should be able to look at my file and determine if I can be approved or not. I was happy with the rep however not happy with the decision. I almost cancelled my credit at that point, I only kept it because it doubles as my YYY card and it has a good cash back option.","Policy ,Representative ,Rewards ,Rewards ,Rewards ,Terms "
688,Agent was very rude but manager saved the day.,Representative 
689,"I called to get my balance - wasn't aware I was over the limit - I'd like to be advised when I am nearing my limit; also wouldn't mind being allowed a small overdraft when that happens as I am charged - I am $4.00 over the limit after interest charged and don't feel I should pay a penalty for that.  Thanks.

Person answering phone was helpful and polite.","Representative ,Representative ,Terms ,Terms ,Terms ,Transaction Types "
690,My experience was good.,Brand 
691,Your interest is too high,Terms 
692,Good customer service,Customer Service 
693,Staff unwilling to understand and empathize with a personal situation which resulted in me getting medication for my sick family member late,"Representative ,Representative ,Representative "
694,The operator was calm and respectful....I wasn't bullied or made to feel bad for my negligence...,"Representative ,Representative "
695,"courteous , confident , proffessional         . wait time  to speak with a CSR Iis short","Phone Experience ,Representative "
696,I understand there are policies but when a request for assistance is denied because of a 12 minute maximum withdrawl and there is nothing that can be done is not helpful especially when traveling in different time zones,Representative 
697,we really appreciated your staffs patient about help me how to prepay the bill. really enjoy being one of the members of YYY .,"Representative ,Representative ,Representative "
698,Great service,Customer Service 
699,I have always paid my accounts on time--the day of the first week of the month may vary but always on time.  I phone to get my outstanding balance as I receive my invoice 2 weeks after I have paid it.  I received in red ink that I was late???? check my credit rating if you are in doubt of what I am saying.  this to me is a insult.,"Policy ,Representative "
700,"Good service, polite customer reps, fast answers.","Customer Service ,Representative ,Representative ,Representative "
701,"This rep was very helpful and explained honestly but when I was approached to get the card I was told I get %2 on all my purchases but this rep explained exactly how cashback works and what percentage on what item of would receive , therefore from now on I use this card only when I gas up and when I go to the restaurant, nothing else , if I don't cancey card because I was lied to at first .","Representative ,Representative ,Rewards ,Rewards "
702, ABC is unfair i know about 10 people that have your credit cards and about 8 of them had gotten a increase after a year of have their cards and never been late on a payment and the rest of us have never been late on a payment and didnt get a increase i called to ask and apparently you select certian cards which i find very unfair and will be looking into a different credit card and possibly getting rid of this one we pay an annual fee to get no benifits from it at all,"Brand ,Payments ,Promotions and Benefits ,Terms "
703,satisfied with the handling of my credit card problem  and the efficient response,"Issue Resolution ,Issue Resolution ,Issue Resolution "
704,"Outstanding customer service. In a world full of scam artists, it's nice to know someone has your back.  Thank you.",Customer Service 
705,Provided with good services.,Customer Service 
706,I was treated professionally and with respect. The representative was knowledgeable and very helpful,"Representative ,Representative ,Representative ,Representative ,Representative "
707,Cash back is strong incentive,"Promotions and Benefits ,Rewards ,Rewards ,Rewards "
708,Great Customer Service,Customer Service 
709,The balance isn’t solved  correctly yet,"Issue Resolution ,Representative "
710,Excellent service,Customer Service 
711,"I don't usually give credit card advice, but I have been treated well considering all my hardship this year. That is why I would recommend  ABC.","Brand ,Life Events ,Representative "
712,The customer service agent on the phone was very difficult to communicate with. Poor listening skills. The agent would ask me the same questions over and over again. Perhaps they were new.,Representative 
713,solved my problem very quickly,"Issue Resolution ,Issue Resolution ,Representative "
714,I like that points never expire when ever call in about a possible fraud charge on card it is never a problem  to have it resolved,"Fraud and Disputes ,Issue Resolution ,Representative ,Rewards "
715,Helpful and pleasant,"Representative ,Representative "
716,"My charges regularly get declined for 0 reason for routine purchases that happen monthly.
Can't get a limit increase despite paying off full balance every month and having significant income.
Infuriating to deal with","Payments ,Terms "
717,"I called because my charge to buying air tickets ($4060.00) did not go through. Customer service verified my ID and then asked me to try one more time if the amount would go through.  It did not go through.
Customer started to verify my ID AGAIN, and started asking questions like:  When did you start using your card? When did you have your replacement card? For what reason your last called to customer service?    I did not give perfect answers to her questions, and I don't think anybody can.
Anyway, what I am asking is to complete the transaction, in my opinion, once my ID is verified, I don't understand why those stupid questions were asked before she reluctantly to allow the transaction..  
It took about 45 minutes to complete the transaction!  
I wonder if I should use my card oversea!

Please don't respond to me like "" this is for your own good and we are trying to protect your account"" because you have already verified my ID at the first time.","Credit/Debit Card ,Credit/Debit Card ,Phone Experience ,Representative ,Transactions/Process Experience ,Transactions/Process Experience "
718,Giving the chance to build up credit history,"Life Events ,Policy "
719,Excellent service à la clientele,Customer Service 
720,My questions were answered in a quick and efficient manner.,Representative 
721,"since the inception of this card in my life, my wife and i have had nothing but bad luck ... many card cancelled with (or without) notice. it took over 2 month to get our initial card, we then received 4 different cards, half of which got cancelled and then it took a few weeks of confusion and 1 very competent and understanding customer service representative to fix it all up ...

Twice the card was compromised, i have had credit card for 29 years to date and this has never happened to me with any other card ... out of the 5 times we called the customer support i only 1 competent, jovial person ... everyone else has been horrible including bad language, voluntary hang-up, poor service.

it's the first time in my CC user's life that i have seen a fraudulent transaction not reverted until at least 1 or 2 months have passed ... it's plain ridiculous and for sure i will never recomment this card or  ABC to anybody ....","Account Communications ,Brand ,Credit/Debit Card ,Credit/Debit Card ,Customer Service ,Fraud and Disputes ,Fraud and Disputes ,Phone Experience ,Phone Experience ,Representative ,Representative "
722,"Seems safe and secure, maybe inconveniently secure but they’re doing their job.  They’ve always been polite when I called in.  I would like a larger limit but I also understand companies can only risk so much.  Really enjoy my  ABC MasterCard, again just wish a bigger limit and about once a week it gets shut off which is annoying but customer service is always polite and professional and you’re not obligated to give me a larger limit :)  ABCs YYY mastercard is awesome!!!!!!","Brand ,Customer Service ,Representative ,Representative "
723,"Your system is so inconsistent and access and payments are so much more complex than my other credit card provider that I have used for 8 years now. 

I find that I do not get emails on time and payments take several days to be posted. I also have asked to increase my limit just for my own personal pleasure (though I would likely not need in unless it were an emergency) and have been denied. Comparing this to my other credit card in which the limit is over 4 times as large. 

My spouse and I are considering to cancel both of our cards and use our primary provider exclusively as it provides more benefits and better service.","Account Maintenance & Closing ,Credit/Debit Card ,Customer Service ,Promotions and Benefits ,Terms "
724,My experience with ABC warrants this.,Brand 
725,Friendly & polite service every time I call for assistance,Representative 
726,I don't know if I'll recommend you to anyone else being treated the way I was on the phone with you...,Brand 
727,Very helpful and accommodating when ask questions. Good experience,"Brand ,Representative "
728,Good card but Missing Apple Pay,Payments 
729,Professional and helpful,"Representative ,Representative "
730,Because it helps build your credit,"Life Events ,Policy "
731,Because u help rebuild peoples credit unlike other cards . thank u,"Life Events ,Policy ,Representative "
732,Lady was very professional,Representative 
733,Fraudulent charges that were looked after immediately and professionally. Thanks you!,"Fraud and Disputes ,Representative "
734,"I was a customer of yours for a long time a while ago and I can't even remember what my limit was but at least 3-5k, and which I paid off completely with good standing.  
I am now in need of a Credit Card to use while travelling next month and went first to ABC because it's who I was with before but the limit that was set was $300.  I can't really use it for much so it's upsetting that I have to change carriers and go to a different card.  I did end up getting another card but would love to stay with you all, but I can't travel with $300 as you know ;)
If there is any way to put me back at the old credit limit then I will remain a customer but at this rate, I'm not sure that I can :(

Thanks for listening,
Cassandra Hayward","Brand ,Credit/Debit Card ,Representative ,Representative ,Terms "
735,Everytime I have a problem with my credit card . Customer service is always able to solve all my problems . Thank you for caring for your customers .,"Issue Resolution ,Representative "
736,My call was answered very quickly and professionally.,"Phone Experience ,Representative "
737,"I feel i was forced to get this card. Because it came free with a YYY membership...i pleaded with the lady, but she insisted. I know that doesn't mean i should've used it, but i was at a very low point in my life, with being diagnosed and requiring 2 surgeries and awaiting treatment, money was very slim as i wasn't working.  Unfortunately,  the card came in handy and i used it, not being able to make payments like i should have.  Being your interest is so high, minimal payments are nearly impossible,  making my card reach and exceeding its limit. Im very disappointed that someone is willing to bully a customer  so they can get credit for getting someone to sign on for a card, as i said, at a very low point in my life.","Representative ,Representative ,Terms ,Terms "
738,I was transferred over to the fraud depart. Because I have about 8 charges on my card that are not mine. They are looking into it but I would like to have been told that they would be calling me back to let me know how all these charges made it to my account.,"Customer Service ,Phone Experience ,Phone Experience "
739,Helpful - straight to the point. Didn't waste too much time.,Representative 
740,"Not really sure why - except I have had good luck with my card, no problems, and my question the other day - was something I never knew would happen.  I mentioned this to a couple of friends yesterday and they didn't know it either.  So glad I passed on the info to them!  We won't let this happen again!","Issue Resolution ,Representative "
741,"Customer service was friendly, easy to deal with, and the wait time was short.","Phone Experience ,Representative "
742,"We have always pd. the full amout owing on any credit card we have ever had and on time.  Last July we were away and a bill got missed and was late coming in....on the next bill was a notice threatening to increase of interest rates to 25.9%.  I could see getting this if that was our history of always being late, but our history is always to pay the full balance and on time....to add insult to injury....we have continued to get these notices with each bill that has been sent since last July......and we find that offensive when we have been good customers.","Account Communications ,Account Communications ,Payments ,Representative ,Representative ,Terms "
743,"As a long term customer with YYY, I always use YYY credit card as my main one. But due to this year spendings, I felt the credit limit not enough so I recently contacted  ABC to request increase. But the representative who answered just simply refused and gave me the reason that I need spend more than $5000per month to desire a increase. It is unbelievable for me because all of my other credit cards have higher limits based on my very good credit rating and good income. I am changing my mind to keep this card as my preferred card. Bo","Brand ,Policy ,Representative ,Terms "
744,"It took 2 representatives to activate my card and set my pin.  The first rep sent me a code and placed me back into the system where I was AGAIN transferred to a representative and had to repeat the whole process all over again.  It is extremely frustrating, especially when in a time crunch to have to do this twice.  I also find the interest rate is to high and not being able to get it lowered is frustrating.  If it was not for the fact it is a YYY card I would cancel the card","Account Maintenance & Closing ,Account Maintenance & Closing ,Credit/Debit Card ,Credit/Debit Card ,Credit/Debit Card ,Phone Experience ,Terms "
745,I would probably recommend the ABC credit card. However the interest is high over our bank credit card. Your customer service is great. Thanks,"Brand ,Customer Service ,Terms "
746,Helpfull but still can’t open the  ABC site on my cell,Representative 
747,"Because it has helped me,  the only thing I do wish is that I could increase my amount on the card",Representative 
748,"I have found the customer service to be lacking. Recently, when I called the rep was laughing and talking in another language to her friends and I had to repeatedly say “hello, hello?” For over 1.5 minutes while she chatted with her friends in a diffeeent language before she realized she had taken the call. Highly unprofessional.",Representative 
749,Asked for a credit increase,Terms 
750,"Service is good, despite the past problems with internet usage, once ironed our all is good
Thank You  

Al Stephenson",Customer Service 
751,Talking to the lady on the phone was a pleasant conversagion.  She was willing to work with me.,"Representative ,Representative ,Representative "
752,I must say very courteous and like how  ABC set up there verification method,"Brand ,Representative "
753,If  ABC is owed money they hound you with repeatedly calling. Yet if they owe someone money it takes forever to go through. ... I may be waiting a month to get my 200 back I paid to the wrong account.....,Phone Experience 
754,Good service and very polite,"Customer Service ,Representative "
755,I am satisfied with the service. ABC keeps me update about my account.,Customer Service 
756,Wanted to disput a charge. But was told that I would have to contact vendor first to get them to reverse the charge and then if not to phone back. A family friend in same situation as me with same vendor phoned her credit card co and charge was credited immediately and then she had to contact vendor etc. If the vendor credited the credit card company would then adjust the credit.,Issue Resolution 
757,Good agent took her time answered all my questions. She was great,"Representative ,Representative "
758,Poor customer service,Customer Service 
759,"Due to continued illness I unfortunately missed a couple of payments, even though I received a credit score notice they were able to listen to my reasons and inform me that once caught up all privileges are restored.  Thank you for being human in a more and more automated world","Account Communications ,Life Events ,Phone Experience ,Policy ,Representative ,Representative "
760,I had ask for help and nobody help me just yelling at me,Representative 
761,"I have been trying to contact someone for over a month in regards to my account. I have left 3 voicemails, been hung up on, and given no service what so ever in regards to my account.","Brand ,Phone Experience "
762,The lady helping me on the phone was very kind. Went above and beyond to help me. I was very happy with her perfessionalism and help.,"Representative ,Representative "
763,I was pleased with the service I received & they were able to work with my financial situation,Customer Service 
764,The Person I was talking to was very good at explaining & understanding what we were discussing.,Representative 
765,Understanding ang informative woman.,"Representative ,Representative "
766,After calling multiple times about a problem I was having I ended up missing my deadline to pay my monthly payment. Due to no one calling me back I was late!!!!!!,"Customer Service ,Issue Resolution ,Phone Experience "
767,Not friendly operator,Representative 
768,Companies need to understand that just because a client was approved for a credit card doesn't mean they arent low income and have an extreamly difficult time keeping up with bills and minimum payments.,"Payments ,Representative "
769,"The agent was great, very courteous. Having to log into my bank to get a confirmation number is a little inconvenient but if thats company policy we cant fault the agent for it.","Representative ,Representative "
770,I just got out of the hospital and your caller kept asking me why I didn’t pay my bill I told her why and that I would pay what is required on the 31st of October. Let me mention my limit is only $1000.00 and it’s a small payment of $230.00 required she then asked me why I was ill? Honestly once I am cleared since I cannot get a higher limit I will leave,"Brand ,Life Events ,Terms "
771,Not willing to help in a situation,Representative 
772,"Short on hold time, very friendly service","Phone Experience ,Representative "
773,"I’ve had my  ABC card for2 years with a limit of$300 , I make 60,000.00a year and they won’t up my limit ...also used my card for a hold on my hotel room but paid with my debit card . It took 2 months for the money to be put back on my card , after being told 14 days then it went to 21 days then 30 days and finally 45 days . This is not a good way to do business .so no I probably would not recommend  ABC to anyone","Brand ,Brand ,Policy ,Terms "
774,Because my issue was attended to and actioned on quickly,Issue Resolution 
775,"Efficient, prompt, courteous service","Customer Service ,Representative "
776,It helps you to create a good credibilty specially for new starters like me before. They treat there clients with respect.,"Representative ,Representative "
777,Always had a positive and great experience with the company,Brand 
778,I appreciated the empathy that your representative offered,"Representative ,Representative "
779,Problem I had.  Fixed so fast and very help letting we know if it happens again.,Issue Resolution 
780,polite and clear and gave good advice,Representative 
781,Good customer service,Customer Service 
782,The conversation was clearly and polite grateful I choice  ABC,Representative 
783,Very friendly,Representative 
784,helps people build there credit and gives a second chance,"Life Events ,Policy ,Representative "
785, ABC sucks and scam people,Brand 
786,"Im not happy with the interest charges, but other than that, Im pleased with the conduct of the staff. Whenever I call they try to be very helpful and understanding. No bullying.","Representative ,Terms "
787,"Card was blocked after an important legitimate transaction due to false positive fraud alert. Talking to 2 agents on the phone was not a pleasant experience, they couldn't explain anything to me and treated me like it was my fault or I was the fraudster","Account Communications ,Credit/Debit Card ,Fraud Alerts ,Fraud and Disputes ,Fraud and Disputes ,Representative ,Representative ,Representative ,Representative "
788,Polite service in the telephone.,Representative 
789,The wait for the pin # is a bit much. I did go to the post office to verify my identity..understand about privacy and security also appreciate bur was such a long process. My other cards were not like that. A few weeks at most.,"Credit/Debit Card ,Transactions/Process Experience "
790,CASH BACK REBATES,"Promotions and Benefits ,Rewards ,Rewards "
791,Excellent customer service,Customer Service 
792,The person I talked with was professional,Representative 
793,Very knowledgeable,Representative 
794,Very polite customer service,Representative 
795,Nice customer service and quick resolution,"Customer Service ,Issue Resolution ,Representative ,Representative "
796,"1- no Apple Pay 
2- I started to use  ABC more than the 2 visas I have, so I called to increase the credit limit since it’s very tight, and I didn’t like the answer.","Payments ,Terms "
797,There is no mechanism to increase the credit limit by request or application.,Terms 
798,good service,Customer Service 
799,Well I wanted to dispute a charge but didn't have the number which was provided for me and I was able to call and charges eliminated.,Fraud and Disputes 
800,Just that i haven't had a negative experience using my  ABC credit card,Brand 
801,Efficient service,Customer Service 
802,"The way Captial One dealing with potential fraud transaction is more professional than other credit card companies.  Instead of making client wait for 15 days, your proactive services are excellent.  I even get a new card within 3 days.  Really impressed with the service.","Credit/Debit Card ,Customer Service ,Fraud and Disputes ,Representative ,Representative "
803,My call from the 18 i had a very good service but my first call this day made me angry the man on the phone was not so helpfull and a lil bit arroguant but like i say the two last person i spoke was very professional,"Customer Service ,Phone Experience ,Representative ,Representative ,Representative "
804,"I would have appreciated to fill this survey in french. 

But when I tried to use the card in Cuba, I had a big surprise! 

I have not waited many minutes for the service, but sometimes.... It is another story. 

I appreciate a lot the card and I do recommand it.

Have a nice day.",Credit/Debit Card 
805,"I have not  had any difficulty using this card , however I have had recent trouble accessing my account through my usual browser, so I am still trying to solve that problem , I love  idea of earning $ back, not points or privileges or that I have to apply for any thing to receive them 
For this reason I am using this card more than any other card at this time. and I have suggested,(note , not recommended ) this card to a few people.  so at this point in time I cannot find any  way you can improve this experience.","Issue Resolution ,Issue Resolution ,Representative ,Representative ,Rewards ,Rewards "
806,The wait  delays to be answered were reasonable and the conversation was courteous leading to a solution.,"Representative ,Representative "
807,"Am little bit disappointed though! I got approved only to use my money as security fund. I put in $1000 security fund and I only get 1,000 credit limit. That’s sound like a debit card to me anyways","Terms ,Transaction Types "
808,I am not sure if i am satisfied with ABC card i had it for almost a year and the credit limit is low . The customer service is good wait time is good,"Brand ,Brand ,Customer Service ,Phone Experience ,Terms "
809,"I wanted to book air tickets from Flydubai airline, but, payment didn't go through after trying several times, and talking to  ABC customer service on 3 occasions (first call was 39 minutes duration, and other 2 calls were more than 20 minutes each), but issue wasn't resolved. It was really annoying that first you enter info about yourself in automated system, then to a live person who asks so many security questions, who finally transfers you to security department personnel whom you tell your story from scratch, and then it takes another few minutes to go through all security question, and after 30 minutes of going through all this hectic process, you were told that nothing can be done. First, I was told that my wife can't buy air tickets online because she was a secondary card holder, and there is no way to resolve this, but after my repeated requests, she was allowed to buy tickets for one leg of the travel. there is definitely inconsistency in statements made. Then, I wasn't able to buy other leg of the travel because  ABC YYY Master card has not joined the program (Master Card Secure Code) implemented by Flydubai. Finally, I gave up, and bought tickets through Triangle master Card. But, still, I couldn't understand why my wife was able to buy departure tickets and I was not able to buy arrival tickets, and secondly, why  ABC doesn't join Master Card Secure Code Program. It is more secure, and gives customer opportunity to buy stuff from more merchants. 

Moreover, one of the customer service reps, was rude, and treated me like kids, and was teaching me that being a primary card holder, I will be responsible for the expenses occurred due to secondary card holder (the thing which a novice even knows). This happened first time in last 14 years, that I came to know (As her that rep) that my wife as a secondary card holder can't buy $674 worth online tickets. I had been a secondary cardholder for her on TD Visa for years now, and made online purchase including air tickets on countless occasions without any problem.

 ABC YYY Master Card needs serious upgrades to claim itself a competitive card. Hopefully, these issues will be considered and resolved.","Account Communications ,Brand ,Customer Service ,Issue Resolution ,Issue Resolution ,Phone Experience ,Phone Experience ,Representative ,Representative ,Representative ,Representative "
810,"I’m happy with the customer service I’ve received from  ABC representatives over the years. I also like the communication that is a regular part of the billing process - the direct notice of what is due delivered by email, also the notification of payments received and posted.","Account Communications ,Brand ,Customer Service ,Transactions/Process Experience "
811,To access human contact you have to wait a long time.,Phone Experience 
812,When no one else gave me a chance to rebuild my credit  ABC did,"Life Events ,Policy "
813,The credit limit of $3000 in the first year is too low to be useful for both gas and store purchases.,Terms 
814,"For past few years that I've been using  ABC card, I always received a good customer service.",Customer Service 
815,"It didn’t take very long,lady was very helpful",Representative 
816,Friendly woman on phone,Representative 
817,No help..my card was canceled on vacation...no help from you,"Account Maintenance & Closing ,Credit/Debit Card ,Credit/Debit Card "
818,"Frustration with waiting for transactions to be posted. Also, the ATM withdrawal limit is too low.","ATM ,Transaction Types "
819,"Dear all, about the most recent call, it took a lot to understand from the agent, and the agent need more training to talk to customers; second point and it’s very important that the credit $750 for this account is too small account, and I have asked to increase that credit, the answer was, it takes a year and then you guys will decide, which too much to wait. My opinion is when you see a customer is paying the payment regularly every month and there is no problem with that customer, you should call that customer and ask to increase the credit for this account after 3 months maximum.

Thanks","Issue Resolution ,Representative ,Representative "
820,A good service on the phone in case of problems,"Customer Service ,Issue Resolution "
821,"Because is good for me, every time went I call for help, I recieved, you people are so nice","Representative ,Representative "
822,Good value and cash back,"Rewards ,Rewards ,Rewards "
823,All questions were answered and confidence returned.,Representative 
824,"I had an unauthorized charge from TELUS, which TELUS could not account for.  After over an hour on the phone with them, they said they could not do anything and suggested I call  ABC to have the charge reversed. I was not in a good mood...however, I was lucky enough to be connected with Aaron (KMJ864).  He listened, he understood, he told me what he could do - and he did it!  PLUS Aaron used logic, he was professional, engaging and positive - and he has a sense of humour, which he shared!  What a bonus!  Aaron single handedly turned a negative experience into a positive one.  Employees like this - especially in customer service - are rare.  Please appreciate and recognize Aaron's exceptional attitude and aptitude.","Fraud and Disputes ,Representative ,Representative ,Representative ,Representative ,Representative ,Representative ,Representative "
825,"We only have the  ABC MC because of our YYY membership. My wife tried to pay for a purchase at the Kelowna YYY on Wednesday, Oct 17, 2018 and the card was denied. We were told to call the number on the back of the card, my wife did, since she does most of the office work in our household. The person who answered was Victor zte773 or 2te773 and he was rude and not helpful. I tried to answer his questions and when I needed help recalling our old address and postal codes, he could hear my wife answering which I then repeated and took issue with that. He interrupted us when we spoke and wouldn't allow us to complete questions and when we asked what the problem with the card was, he only said it had been compromised.
I got frustrated speaking with him and have decided to stop using the  ABC MC.","Credit/Debit Card ,Phone Experience ,Representative ,Representative ,Representative "
826,Good customer service .,Customer Service 
827,"I was disappointed to not be able to increase the credit on my card. I needed that for next week but apparently it would have taken 3 months! I am the one who initially have requested to bring the amount down to 2,500$ to be more secure. I just don't understand why I could not do it. It would have really helped me.",Representative 
